animal,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
aardvark,20,20,20,20,20,20,10,10,5
badger,20,20,20,20,20,10,5,5,2.5
bat,20,20,20,20,10,10,5,2.5,2.5
beaver,20,20,20,20,20,20,20,20,10
boar,20,20,20,20,20,20,10,10,10
buffalo,20,20,10,10,10,5,2.5,2.5,1.25
carp,20,10,10,5,5,5,5,5,2.5
catfish,20,10,10,5,5,5,5,5,5
cheetah,20,20,20,20,20,20,10,10,10
chihuahua,20,20,20,20,20,20,10,5,2.5
chinchilla,20,20,20,20,20,20,10,5,2.5
clam,20,10,10,5,5,5,2.5,1.25,0.625
collie,20,20,20,20,20,20,10,10,5
crab,20,10,10,5,5,5,5,2.5,2.5
crocodile,20,10,10,10,10,10,10,10,10
dalmatian,20,20,20,20,20,20,10,10,5
dog,20,20,20,20,20,20,10,10,5
dolphin,20,20,20,10,10,10,10,10,10
duck,20,10,10,5,2.5,2.5,2.5,1.25,0.625
elephant,20,20,20,20,20,20,10,10,5
flamingo,20,10,10,5,2.5,2.5,1.25,1.25,0.625
fox,20,20,20,20,20,20,10,10,10
fruitbat,20,20,20,20,10,10,5,2.5,1.25
giant panda,20,20,20,20,20,20,10,10,5
gnat,20,10,10,5,2.5,2.5,1.25,0.625,0.3125
gorilla,20,20,20,20,20,20,10,10,5
guinea pig,20,20,20,20,20,20,10,5,2.5
haddock,20,10,10,5,5,5,5,2.5,1.25
hare,20,20,20,20,20,20,10,10,5
hedgehog,20,20,20,20,20,20,10,5,2.5
hippopotamus,20,20,20,20,20,20,20,20,20
horse,20,20,20,20,20,20,10,10,5
human,20,20,20,10,10,10,5,5,5
jellyfish,20,10,10,5,5,5,5,2.5,2.5
koala,20,20,20,20,20,20,10,10,5
lark,20,10,10,5,2.5,2.5,1.25,0.625,0.3125
leopard,20,20,20,20,20,20,10,10,10
llama,20,20,20,20,20,20,10,10,5
lynx,20,20,20,20,20,20,10,10,10
mole,20,20,20,20,20,20,10,5,5
monkey,20,20,20,20,20,20,10,10,5
moth,20,10,10,5,2.5,2.5,1.25,0.625,0.3125
newt,20,10,10,10,10,10,10,5,2.5
opossum,20,20,20,20,20,20,10,5,2.5
oryx,20,20,20,20,20,20,10,10,5
otter,20,20,20,20,20,20,20,20,10
ox,20,20,20,20,20,20,10,10,5
parrot,20,10,10,5,2.5,2.5,1.25,0.625,0.3125
persian cat,20,20,20,20,20,20,10,5,2.5
pig,20,20,20,20,20,20,10,10,5
piranha,20,10,10,5,5,5,5,2.5,2.5
platypus,20,20,20,20,20,20,20,20,10
polar bear,20,20,20,20,20,20,20,20,20
pony,20,20,20,20,20,20,10,10,5
puma,20,20,20,20,20,20,10,10,10
raccoon,20,20,20,20,20,20,10,10,5
reindeer,20,20,10,10,10,10,5,5,2.5
rhinoceros,20,20,20,20,20,20,10,10,10
sea lion,20,20,20,10,10,10,10,10,10
seawasp,20,10,10,5,5,5,5,2.5,2.5
skimmer,20,10,10,5,2.5,2.5,2.5,1.25,1.25
skunk,20,20,20,20,20,10,5,5,2.5
slowworm,20,10,10,5,5,5,2.5,1.25,1.25
snake,20,10,10,5,5,5,2.5,1.25,1.25
sparrow,20,10,10,5,2.5,2.5,1.25,0.625,0.3125
squirrel,20,20,20,20,20,20,10,5,2.5
stingray,20,10,10,5,5,5,5,5,5
termite,20,10,10,5,5,5,2.5,1.25,0.625
toad,20,10,10,10,10,10,10,5,2.5
tuatara,20,10,10,10,10,10,5,2.5,2.5
turkey,20,10,10,5,5,5,2.5,2.5,1.25
vulture,20,10,10,5,2.5,2.5,1.25,1.25,0.625
walrus,20,20,20,10,10,10,10,10,5
weasel,20,20,20,20,20,20,10,5,2.5
worm,20,10,10,5,5,5,2.5,1.25,0.625
